function,type,rotor_type,cooling,wind_coil_type,impregnation_type,Subcomponent,age_factor,age_weight,maintenance_weight,failure_weight,diagnostic_weight
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,1,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,1,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,1,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,1,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,1,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,2,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,2,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,2,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,2,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,2,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,3,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,3,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,3,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,3,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,3,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,4,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,4,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,4,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,4,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,4,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,5,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,5,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,5,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,5,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,5,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,6,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,6,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,6,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,6,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,6,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,7,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,7,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,7,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,7,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,7,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,8,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,8,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,8,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,8,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,8,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,9,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,9,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,9,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,9,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,9,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,10,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,10,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,10,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,10,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,10,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,11,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,11,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,11,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,11,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,11,5,8,0.3,0.7,1
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,12,1,1,0.3,0.7,8
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,12,2,2,0.5,1.5,6
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,12,3,4,0.5,1.5,4
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,12,4,6,0.5,1.5,2
Generator,Synchronuous,Salient Poles,Air,Single turn,Vacuum impregnated,12,5,8,0.3,0.7,1
